QUERY 1:	51	359	184	12	746	13	435	56	665	817	486	1186	253	944	663	

QUERY 2:	12	51	746	100	184	47	884	875	792	834	497	253	92	284	1361	

QUERY 3:	485	144	5	582	91	181	399	90	281	542	707	980	395	6	1389	

QUERY 4:	1061	488	166	575	185	1275	103	1374	1189	410	355	236	552	1011	317	

QUERY 5:	102	103	552	401	1374	1158	1061	355	26	575	1073	360	625	1241	410	

QUERY 6:	386	385	491	257	271	99	142	798	151	1363	406	1263	883	861	72	

QUERY 7:	492	433	434	1231	1040	1115	197	189	122	56	973	225	373	1347	354	

QUERY 8:	492	1231	569	907	122	21	1083	237	354	443	711	197	234	248	1193	

QUERY 9:	21	22	550	571	326	306	398	528	102	45	123	564	120	554	283	

QUERY 10:	492	1199	302	493	1077	1009	1286	949	1274	1319	1003	185	110	616	405	

QUERY 11:	28	1248	20	1389	160	72	495	64	93	1149	777	349	1356	320	132	

QUERY 12:	624	1223	1221	941	270	631	112	506	650	1094	652	245	1164	1222	1209	

QUERY 13:	496	643	199	660	503	440	468	526	1268	880	879	469	507	903	780	

QUERY 14:	64	132	170	1364	256	335	345	798	190	402	439	1314	721	490	1156	

QUERY 15:	1096	1097	1025	1117	1099	761	553	1340	462	463	1065	866	542	1100	1015	

QUERY 16:	498	106	1328	248	1301	803	494	1255	326	231	1112	682	161	927	1006	

QUERY 17:	106	700	1301	498	1281	1108	94	2	1206	803	494	410	148	527	326	

QUERY 18:	498	248	492	154	197	1231	1301	927	1005	19	803	1352	122	27	56	

QUERY 19:	660	286	303	706	1090	988	847	1242	1052	516	1260	714	1001	61	453	

QUERY 20:	500	88	268	270	87	104	300	963	584	873	269	120	450	407	408	

QUERY 21:	502	68	17	16	377	421	686	538	460	1007	1051	628	302	508	932	

QUERY 22:	348	125	413	140	165	560	254	207	9	346	66	1147	1235	50	151	

QUERY 23:	1108	1259	892	899	1109	903	586	777	14	718	753	28	1272	814	1066	

QUERY 24:	756	612	46	1034	1317	833	88	268	650	1332	334	374	1242	738	981	

QUERY 25:	277	214	772	215	990	987	988	213	989	212	216	426	97	511	352	

QUERY 26:	382	3	307	629	4	1355	611	388	1225	568	1076	72	134	664	23	

QUERY 27:	1176	1031	888	1178	1129	1133	838	752	512	1293	224	1070	680	920	279	

QUERY 28:	752	680	920	1075	921	923	698	433	919	521	1051	1050	367	1362	699	

QUERY 29:	465	797	788	420	211	250	900	683	612	513	334	146	26	514	787	

QUERY 30:	752	921	633	683	147	680	464	801	1197	688	1070	19	222	420	901	

QUERY 31:	751	749	247	916	919	712	845	1341	698	1153	918	551	1320	68	1398	

QUERY 32:	752	801	382	714	160	737	192	1112	1259	494	921	273	1197	201	901	

QUERY 33:	516	431	141	714	800	672	1155	252	1153	594	799	358	795	876	1074	

QUERY 34:	610	431	1153	799	1062	252	795	1074	594	1155	516	598	809	876	714	

QUERY 35:	1244	1208	1203	75	1327	724	654	132	64	65	875	1389	297	1084	319	

QUERY 36:	119	283	661	564	123	554	120	623	135	980	398	5	145	168	559	

QUERY 37:	186	176	461	189	519	242	173	1307	282	979	487	1229	234	950	188	

QUERY 38:	1264	536	979	976	1141	295	294	1205	360	1368	1196	433	272	1152	154	

QUERY 39:	272	1205	1264	37	1278	346	3	315	43	1154	418	505	40	72	1225	

QUERY 40:	536	37	1141	1205	979	272	1264	1368	1196	976	295	1152	568	505	418	

QUERY 41:	289	432	229	513	1340	464	874	433	879	752	676	686	1243	1091	712	

QUERY 42:	526	440	503	521	468	469	312	496	467	879	797	1267	439	404	780	

QUERY 43:	503	469	440	467	404	526	39	194	312	70	468	1267	687	193	496	

QUERY 44:	820	1199	1148	583	27	1031	232	367	760	862	752	541	1190	1048	1228	

QUERY 45:	525	1184	305	123	84	1395	1185	170	1364	345	1253	540	310	133	973	

QUERY 46:	123	304	525	84	305	1185	353	623	120	49	803	655	564	873	260	

QUERY 47:	326	525	327	570	310	306	568	170	1253	308	305	663	573	345	304	

QUERY 48:	526	797	683	334	439	440	1228	26	468	368	902	521	503	793	392	

QUERY 49:	320	527	321	322	1235	150	16	476	366	365	377	349	478	107	1240	

QUERY 50:	192	1301	326	801	1112	992	27	494	899	1268	1207	1197	498	25	1149	

QUERY 51:	1301	326	1214	498	192	1391	803	1149	36	3	142	798	94	106	306	

QUERY 52:	326	21	305	1215	22	528	629	306	798	4	550	1076	3	134	1214	

QUERY 53:	437	1253	653	407	61	269	208	298	1273	1282	456	1073	332	268	1297	

QUERY 54:	123	84	525	305	1213	44	666	1185	1393	564	554	283	623	651	398	

QUERY 55:	4	460	17	16	376	798	2	377	81	1214	1149	135	406	72	1281	

QUERY 56:	753	201	202	1339	441	391	856	783	878	14	637	593	1275	1380	1111	

QUERY 57:	753	1275	202	444	593	856	380	916	1111	878	15	1099	391	1341	1338	

QUERY 58:	268	269	88	270	754	104	963	120	787	873	788	61	5	784	408	

QUERY 59:	629	1154	671	3	854	855	457	335	363	4	1225	1149	134	72	1055	

QUERY 60:	527	321	322	320	350	107	730	131	1265	833	243	1235	11	961	476	

QUERY 61:	1213	566	564	333	539	1359	435	565	854	1110	790	1046	1146	1309	787	

QUERY 62:	785	381	148	1383	787	1046	116	789	382	483	788	105	255	629	912	

QUERY 63:	1045	839	1046	891	605	420	763	1051	678	1359	785	411	1118	382	435	

QUERY 64:	52	482	593	202	390	391	1339	15	878	908	856	239	1204	914	1111	

QUERY 65:	3	388	393	569	4	1225	1386	664	389	2	629	484	1398	310	1355	

QUERY 66:	128	1182	590	484	393	310	306	629	366	1251	458	1206	664	660	97	

